mode,data,channel_filter,experiment,classifier,exp_name
pd_vs_hc,questionnaire,NMS,d,cat,pd_vs_hc_quest_d_nms_cat
pd_vs_dd,questionnaire,NMS,d,cat,pd_vs_dd_quest_d_nms_cat
pd_vs_hc,movement,Acceleration,a,svm,pd_vs_hc_mov_a_acc_svm
pd_vs_hc,movement,Rotation,a,svm,pd_vs_hc_mov_a_rot_svm
pd_vs_hc,movement,Both,a,svm,pd_vs_hc_mov_a_both_svm
pd_vs_hc,movement,Acceleration,b,svm,pd_vs_hc_mov_b_acc_svm
pd_vs_hc,movement,Rotation,b,svm,pd_vs_hc_mov_b_rot_svm
pd_vs_hc,movement,Both,b,svm,pd_vs_hc_mov_b_both_svm
pd_vs_hc,movement,Acceleration,a,nn,pd_vs_hc_mov_a_acc_nn
pd_vs_hc,movement,Rotation,a,nn,pd_vs_hc_mov_a_rot_nn
pd_vs_hc,movement,Both,a,nn,pd_vs_hc_mov_a_both_nn
pd_vs_hc,movement,Acceleration,b,nn,pd_vs_hc_mov_b_acc_nn
pd_vs_hc,movement,Rotation,b,nn,pd_vs_hc_mov_b_rot_nn
pd_vs_hc,movement,Both,b,nn,pd_vs_hc_mov_b_both_nn
pd_vs_hc,movement,Acceleration,a,cat,pd_vs_hc_mov_a_acc_cat
pd_vs_hc,movement,Rotation,a,cat,pd_vs_hc_mov_a_rot_cat
pd_vs_hc,movement,Both,a,cat,pd_vs_hc_mov_a_both_cat
pd_vs_hc,movement,Acceleration,b,cat,pd_vs_hc_mov_b_acc_cat
pd_vs_hc,movement,Rotation,b,cat,pd_vs_hc_mov_b_rot_cat
pd_vs_hc,movement,Both,b,cat,pd_vs_hc_mov_b_both_cat
pd_vs_dd,movement,Acceleration,a,svm,pd_vs_dd_mov_a_acc_svm
pd_vs_dd,movement,Rotation,a,svm,pd_vs_dd_mov_a_rot_svm
pd_vs_dd,movement,Both,a,svm,pd_vs_dd_mov_a_both_svm
pd_vs_dd,movement,Acceleration,b,svm,pd_vs_dd_mov_b_acc_svm
pd_vs_dd,movement,Rotation,b,svm,pd_vs_dd_mov_b_rot_svm
pd_vs_dd,movement,Both,b,svm,pd_vs_dd_mov_b_both_svm
pd_vs_dd,movement,Acceleration,a,nn,pd_vs_dd_mov_a_acc_nn
pd_vs_dd,movement,Rotation,a,nn,pd_vs_dd_mov_a_rot_nn
pd_vs_dd,movement,Both,a,nn,pd_vs_dd_mov_a_both_nn
pd_vs_dd,movement,Acceleration,b,nn,pd_vs_dd_mov_b_acc_nn
pd_vs_dd,movement,Rotation,b,nn,pd_vs_dd_mov_b_rot_nn
pd_vs_dd,movement,Both,b,nn,pd_vs_dd_mov_b_both_nn
pd_vs_dd,movement,Acceleration,a,cat,pd_vs_dd_mov_a_acc_cat
pd_vs_dd,movement,Rotation,a,cat,pd_vs_dd_mov_a_rot_cat
pd_vs_dd,movement,Both,a,cat,pd_vs_dd_mov_a_both_cat
pd_vs_dd,movement,Acceleration,b,cat,pd_vs_dd_mov_b_acc_cat
pd_vs_dd,movement,Rotation,b,cat,pd_vs_dd_mov_b_rot_cat
pd_vs_dd,movement,Both,b,cat,pd_vs_dd_mov_b_both_cat
